"","Temperature","Cadd","Date","Harvest.ID","Dry.Weight","TOC","TN","Fum.TOC","Fum.TN","MBC","MBN","NH4","TRS","NO3","PO4","Fum.PO4","MBP","TFPA","BG","NAG","PHOS","LAP","CBH","BG.AP","BG..NAG.LAP.","VectorLength","VectorAngle","Sample","Average","Caddmg","CperSoil"
"1","2","0","10/1/2019",1,0.446,324.0802143,66.92115362,1180.290203,184.2470392,856.209989,117.3258856,2.298482022,0.099004587,39.34985446,0.083640505,3.795079664,3.711439159,39.3157603,133.63,48.42,247.07,220.46,11.78186653,0.35,0.33,0.48,43.41,NA,NA,NA,NA
"2","2","0","10/1/2019",2,0.416,343.4107497,67.10504963,1114.121984,179.9948229,770.7112343,112.8897733,1.124836132,0.091343099,41.34229884,0.125193033,3.003887094,2.878694061,52.84775991,113.19,40.9,184.28,182.95,12.19800069,0.38,0.34,0.51,41.43,NA,NA,NA,NA
"3","2","0","10/1/2019",3,0.454,313.3824972,62.37411852,1062.209182,172.7570413,748.8266846,110.3829227,0.573609795,0.068313163,35.36854973,0.145819033,1.751922773,1.60610374,30.71667507,58.58,33.14,170.43,152.4,7.81204006,0.26,0.24,0.35,43.17,NA,NA,NA,NA
"4","2","0","10/1/2019",4,0.454,278.1338508,58.29840332,942.8132735,163.5649097,664.6794227,105.2665064,1.963510454,0.05267521,37.97293997,0.068383155,2.481890595,2.41350744,33.07949623,75.88,36.04,178.06,181.1,5.57941879,0.3,0.26,0.4,40.91,NA,NA,NA,NA
"5","2","0.4","10/1/2019",5,0.462,310.3940994,40.5689201,976.1872135,130.5925723,665.793114,90.02365223,0.601831577,0.076724996,19.89717806,0,1.808639712,1.808639712,40.38777059,106.24,39.51,201.17,169.92,3.824432081,0.35,0.34,0.48,44.24,NA,NA,NA,NA
"6","2","0.4","10/1/2019",6,0.542,270.8467306,38.79540903,1033.661712,135.5322241,762.8149816,96.73681504,1.509494503,0.048172023,23.02190608,0,2.109123308,2.109123308,35.81411679,84.73,24.56,137.9,135.38,8.271300712,0.38,0.35,0.51,42.3,NA,NA,NA,NA
"7","2","0.4","10/1/2019",7,0.544,253.1720563,38.58713473,953.5485424,131.3103218,700.3764861,92.72318705,1.123017051,0.041219962,20.44696994,0.12719925,2.36729435,2.2400951,37.10866241,88.45,33.35,172.23,133.98,10.10874988,0.34,0.35,0.48,45.54,NA,NA,NA,NA
"8","2","0.4","10/1/2019",8,0.542,272.158337,36.09722723,863.3510887,118.2834206,591.1927517,82.18619337,1.203958266,0.044779627,19.99321236,0.018822025,1.266677479,1.247855454,35.43712609,93.35,32.85,330.62,145.42,13.61377683,0.22,0.34,0.41,57.35,NA,NA,NA,NA
"9","2","0.2","10/1/2019",9,0.464,356.8791048,52.75021328,966.5839013,148.6471048,609.7047965,95.89689153,1.271303701,0.077974415,29.57012162,0.120174891,3.079935004,2.959760113,46.08015115,144.26,53.96,291.57,277.68,14.48334621,0.33,0.3,0.45,42.48,NA,NA,NA,NA
"10","2","0.2","10/1/2019",10,0.464,298.186209,47.64268697,1018.906825,157.9793001,720.7206164,110.3366131,1.917729312,0.077974415,28.47997889,0.093481813,2.645036774,2.551554961,40.27360545,119.67,39.31,193.51,173.97,11.72331244,0.38,0.36,0.52,43.25,NA,NA,NA,NA
"11","2","0.2","10/1/2019",11,0.468,291.9442185,45.01709007,998.2638873,140.4821135,706.3196688,95.46502341,1.59255465,0.073270041,25.31353899,0.163138014,3.114975332,2.951837318,61.95277291,145.8,45.65,273.66,234.95,11.68083321,0.35,0.34,0.49,44.53,NA,NA,NA,NA
"12","2","0.2","10/1/2019",12,0.49,300.7920028,46.46124942,998.0123852,150.3415023,697.2203824,103.8802529,1.661223328,0.065913908,30.78069563,0.155193802,2.371974021,2.21678022,42.30755971,134.88,40.86,242.39,223.54,51.00164208,0.36,0.34,0.49,43.38,NA,NA,NA,NA
"13","2","2","10/1/2019",13,0.476,296.5403277,21.44150946,1118.87456,137.3468213,822.3342325,115.9053118,1.538374158,0.053950826,0,0,1.99372048,1.99372048,30.12209632,140.74,45.36,289.84,214.75,11.9706398,0.33,0.35,0.48,47.05,NA,NA,NA,NA
"14","2","2","10/1/2019",14,0.43,327.0525221,19.30523226,1084.205954,128.8096166,757.1534321,109.5043844,0,0.067739509,0,0,1.892541044,1.892541044,37.17831617,119.18,40.74,252.41,200.76,3.905998821,0.32,0.33,0.46,45.85,NA,NA,NA,NA
"15","2","2","10/1/2019",15,0.51,292.6993559,20.29778619,878.4159477,99.35983401,585.7165918,79.06204782,1.706930675,0.074278985,0,0,1.173936865,1.173936865,51.91905838,99.14,36.05,183.78,152.47,12.32557898,0.35,0.34,0.49,44.52,NA,NA,NA,NA
"16","2","2","10/1/2019",16,0.482,292.9072845,16.01575089,917.6766703,98.39103385,624.7693858,82.37528296,0.512749845,0.093871695,0,0,1.07402407,1.07402407,56.64387951,105.94,32.33,223.97,177.31,10.57733403,0.32,0.34,0.46,46.27,NA,NA,NA,NA
"17","6","0","10/1/2019",17,0.51,241.8980416,35.01761807,927.8280476,140.6174345,685.930006,105.5998164,0.58712194,0.077276582,33.52351071,0.120468926,2.293197219,2.172728293,40.50089548,75.44,46.57,93.2,37.29,8.93285925,0.45,0.47,0.65,46.63,NA,NA,NA,NA
"18","6","0","10/1/2019",18,0.486,257.8641052,39.45829389,859.8951527,128.7728951,602.0310475,89.31460124,1.073695118,0.063544069,26.37000318,0.059281396,1.342379733,1.283098337,34.97055997,96.7,41.82,177.13,173.72,11.5055007,0.35,0.31,0.47,41.25,NA,NA,NA,NA
"19","6","0","10/1/2019",19,0.514,257.2121351,44.16467141,881.0952067,135.7228622,623.8830716,91.55819082,1.299187339,0.078600745,30.45498169,0.027908781,2.33428282,2.306374038,27.43690032,126.38,40.97,256.68,325.66,17.02961417,0.33,0.26,0.42,37.85,NA,NA,NA,NA
"20","6","0","10/1/2019",20,0.508,227.3805189,38.18707476,915.0257941,150.5349407,687.6452751,112.347866,2.10086568,0.091658062,17.08082858,0,2.068006645,2.068006645,42.42898151,75.55,35.96,162.6,135.21,4.636010211,0.32,0.31,0.44,43.99,NA,NA,NA,NA
"21","6","0.4","10/1/2019",21,0.492,231.2517163,30.6713702,1021.031384,139.4784726,789.7796679,108.8071024,0.938136445,0.073092352,30.02644022,0.052456595,1.688239889,1.635783294,27.87063538,146.81,49.13,278.63,216.39,44.46005683,0.35,0.36,0.5,45.9,NA,NA,NA,NA
"22","6","0.4","10/1/2019",22,0.46,245.522848,36.46981829,1075.529709,159.3489303,830.0068608,122.879112,1.191932578,0.073041739,26.89143456,0,1.161781706,1.161781706,33.66472663,141.76,42.35,234.23,211.44,15.66156967,0.38,0.36,0.52,43.55,NA,NA,NA,NA
"23","6","0.4","10/1/2019",23,0.488,245.8871082,27.74490029,882.0318082,124.6199813,636.1447,96.87508104,3.137364088,0.092616719,14.42699671,0,1.522806112,1.522806112,58.77607522,130.87,35.97,202.84,187.16,19.28942369,0.39,0.37,0.54,43.31,NA,NA,NA,NA
"24","6","0.4","10/1/2019",24,0.488,280.4669579,35.82689612,974.6095307,141.730353,694.1425728,105.9034569,1.754312819,0.071648126,21.52224099,0.180514679,1.940982714,1.760468034,47.35913974,116.11,49.85,193.85,185.86,16.3109016,0.37,0.33,0.5,41.38,NA,NA,NA,NA
"25","6","0.2","10/1/2019",25,0.398,337.4966656,42.72392013,1196.69199,185.8151821,859.1953247,143.091262,1.682818278,0.102349394,25.96257924,0.438242853,2.958613578,2.520370725,49.09270761,169.1,55.63,326.7,253.44,15.97608581,0.34,0.35,0.49,46.04,NA,NA,NA,NA
"26","6","0.2","10/1/2019",26,0.472,281.7614885,40.1306595,887.5550011,137.2195662,605.7935126,97.0889067,1.539843605,0.085163064,26.39622148,0.045192924,2.034440258,1.989247334,52.9796625,146.82,47.56,279.44,251.11,17.55029441,0.34,0.33,0.48,43.74,NA,NA,NA,NA
"27","6","0.2","10/1/2019",27,0.494,219.8002614,31.25695493,926.7645084,147.5813038,706.964247,116.3243488,2.081368587,0.078977408,21.66202366,0,2.250782792,2.250782792,31.78122283,108.92,47.42,199.67,188.06,12.18467777,0.35,0.32,0.47,41.86,NA,NA,NA,NA
