Metabolite,Compound.Class,Soil 1,Soil 2,Soil 3,Soil 4,Soil 5,Soil 6,Soil 7,Soil 8,Soil 9,Soil 10,Soil 11,Soil 12,Soil 13,Soil 14,Soil 15,Soil 16,Soil 21,Soil 22,Soil 23,Soil 24,Soil 25,Soil 26,Soil 27,Soil 28,Soil 37,Soil 38,Soil 39,Soil 40,Soil 41,Soil 42,Soil 43,Soil 44,Soil 49,Soil 50,Soil 51,Soil 52,Soil 53,Soil 54,Soil 55,Soil 56,Soil 57,Soil 58,Soil 59,Soil 60,Soil 61,Soil 62,Soil 63,Soil 64,Soil 69,Soil 70,Soil 71,Soil 72,Soil 73,Soil 74,Soil 75,Soil 76,Soil Pre r1,Soil Pre r2,Soil Pre r3,Soil Pre r4
,Temp,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,-10,-10,-10,-10,-10,-10,-10,-10,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-2,-2,-2,-2,-2,-2,-2,-2,Pre,Pre,Pre,Pre
,Cadd,0,0,0,0,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,2,2,2,2,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0,0,0,0,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,2,2,2,2,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,Pre,Pre,Pre,Pre
 Uracil,Pyrimidine,3495398.048,3108263.848,3660099.195,2855456.372,2938371.749,4063816.872,3124239.963,4071171.131,238827.3495,4166909.848,3618086.609,3893579.902,154498.1828,4106705.827,196093.3397,223737.6677,4376638.666,3304280.968,3062582.667,3075234.218,3149944.626,2925163.549,2499759.981,2497039.157,3959493.868,3868994.562,4092552.024,4166581.915,4427266.902,4356732.722,4227298.08,3824336.771,1938116.422,4554500.056,836887.4902,3444686.973,4656550.145,4018108.402,3861833.782,2985755.642,5305363.517,4219160.145,3355572.566,4224073.767,3545968.791,3879907.73,2328159.795,1876882.441,4672773.712,3747445.519,4678429.125,3309401.828,4824356.174,3823253.875,4027438.5,3886370.263,3485291.093,3530136.167,3243949.491,3025313.002
"1,3-dihydroxyacetone",Sugar/Sugar alcohols,3533593.318,4115993.773,2567333.426,1982751.645,1255692.01,2461859.14,1564196.697,2437065.428,2728850.268,2073110.701,2498716.584,712374,1536215.891,2133314.256,2676840.161,2220246.97,4386162.297,5312917.816,546075,3724552.788,4442347.146,3115218.808,4693141.373,2907897.306,2695308.908,3635653.191,3019831.22,2401504.477,2934404.61,2555214.707,764863,2542391.957,1687138.555,4078668.564,679513.0025,3322173.068,2700403.459,4663857.856,3095456.088,1188649.835,3184895.91,4026581.289,2996877.051,2450522.82,2088785.812,1671888.909,1570796.461,1301295.241,1657411.969,2371940.345,1796567.107,1497430,2440132.42,2738825.768,2465505.94,2081712.997,552968.9403,594261.6932,601782.0374,567776.022
"2-butyne-1,4-diol ",Organic Compound,7549107.05,7301235.012,7804598.336,7786673.423,5438210.305,8928765.591,7745804.514,8099707.872,7071359.139,8800402.299,9133197.547,7425877.654,11549887.02,10274089.54,11933438.89,10772477.82,5864750.6,8624227.031,9083456.511,9450669.006,7078274.842,8411644.129,8185799.803,8007220.158,8003685.951,9180338.518,10400137.12,12483692.25,8046039.348,9493925.928,9103092.21,9007243.924,4657939.209,7402525.863,2903172.443,9296579.521,6320048.965,9876934.48,8693685.752,7040028.13,8127046.77,9733677.019,9525691.385,8881395.136,9183868.872,6935890.871,6638363.209,6286042.002,6245860.732,11737856.87,10065138.91,8944298.313,8679732.298,10071687.74,7237356.435,10752298.92,17109219.76,17985601.51,18292136.39,17509438.39
2-hydroxybutyric acid,Hydroxy Carboxylic acid,21074248.11,22369631.1,16965478.06,17595584.15,8889586.614,16983480.15,18560066.25,20240379.95,10936852.12,20223291.7,20644994.28,18213403.75,11676789.34,21770573.62,19408726.17,19109052.47,16293647.13,20528998.43,15958618.19,16172995.23,10184607.47,16741761.31,15327855.25,20271038.59,27262089.07,26197871.77,25565577.15,20919664.8,20974100.69,22787893.35,20426035.83,24080551.16,9802195.37,24457342.4,4971937.832,21275843.19,23457605.41,24319927.17,23379202.51,16291317.34,22071616.22,24101056.62,21607441.9,25061174.65,17208149.54,24985318.82,16421593.79,20459758.56,15498068.75,13531027.17,19666066.82,16245639.7,21911666.6,23905354.71,20767819.27,21361301.39,6140323.103,6411643.103,5958407.114,5966725.375
2-hydroxypyridine,Pyridine,2821435.173,1901603.72,2084093.319,1921085.152,2345912.545,2418612.679,831790.9484,2247185.21,2077117.119,1429869.496,2928182.286,2897535.138,3234677.213,3023973.675,656000.6208,2008341.229,2571705.882,2555391.725,3261451.723,1938504.036,2228844.246,1676037.12,2815897.121,2133293.536,445072.656,844928.2339,222191.8607,172803.5572,3241591.963,4192782.895,3451039,2395609.541,3568089.386,3332930.981,2183353.827,2965731,362771.4076,2816295.568,3179493.568,702159.8064,2997313.536,3555840.95,504067.2428,233941.6478,3907432.072,3303904.477,5534498.692,4447717.639,3182412.157,2873550.187,2353880.619,4076441.14,2429987.932,2921189.948,2439091.237,2245380.282,3032898.421,3114921.491,2880664.806,3269424.901
3-hydroxybutyric acid,Hydroxy Carboxylic acid,1374677.055,3252518.678,3037248,3141770,1375593.907,2561772.244,3143964,1919357.689,3647835,2337241,3893934.668,1744324.855,1782718,2330111.44,3685245.482,3515474.191,3450446.742,3983751.024,1467081.972,2265131.166,1475492.822,932629.1226,3049732,2099213,12433208.51,8791193.864,5954166.97,17016351.12,9817066.984,7360955.584,8440016.058,10510782.69,5289334.199,6687539.823,1045625.388,5853413.188,5492014.095,9205177.399,6856622.706,4353216.109,9993336.988,8785933.839,10721672.4,9784720.632,20054940.84,6030646.395,9936391.779,6201931.918,12276195.81,16923599.87,8004257.003,11706048.66,13542152.41,9561207.34,5412638.317,7414465.747,10026447.84,10747058.42,10759798.2,9859768.475
3-hydroxypropionic acid,Hydroxy Carboxylic acid,2075838,2552004,12553840.69,1903391.924,5551469.651,2719826.15,5328239,5235338.307,7941026.656,3988533,6448670.912,1018391.157,14320605.78,9039959.596,33576305.92,20966486.75,4037277.86,6793513.352,3623504.975,13988681.73,9591099.783,7483610.182,9901059.497,814085,2871325,4411368,6526293,1620260,7173079.901,4836724.227,3889596.676,3101463,3782567.798,4744790.997,3135570.179,1381946,2976614.193,3387458.432,2319097,2995165.451,7130804.288,4598455.987,6033138.125,3786965,1210820,1105592,949205.6845,402172.0413,4134457.951,5403119.95,4517726.702,1094862.534,9406209.88,10135687.77,9158377.568,10434716.83,16705025.65,15341431.1,13914548.15,15591458.81
4-aminobutyric acid (GABA),Amino acid,1955634.012,3616720.635,2634724.547,2763667.504,2764658.069,4377265.538,2598823.765,2503038.254,3636334.357,2604005.541,3063806.256,3123906.522,1312342.716,3700644.401,4756955.05,4911840.604,6082001.375,4039478.628,2628107.057,4186404.604,4758725.405,2910424.568,5415134.353,4404950.401,5799771.297,5126032.045,3891476.476,3527260.457,3225208.085,7064116.453,3235857.255,3386644.198,1111522.683,3472797.446,419242.7717,4365617.257,4614232.078,2027347.493,2730606.895,345446.5409,5085016.347,3236178.655,4109667.712,6347763.389,3569975.696,4362477.559,5792656.29,5815192.184,4722099.633,3934291.604,5469263.962,2737625.143,2479459.87,4927237.252,6049060.977,4692606.643,4584689.818,4080582.381,3943474.135,3661177.822
