Temp,Cadd,Date,Harvest ID,Dry Weight,TOC,TN,Fum-TOC,Fum-TN,MBC,MBN,NH4,TRS,NO3,PO4,Fum-PO4,MBP,TFPA,BG,NAG,PHOS,LAP,CBH,BG/AP,BG/(NAG+LAP),VectorLength,VectorAngle
2,0,10/1/2019,1,0.446,324.0802143,66.92115362,1180.290203,184.2470392,856.209989,117.3258856,2.298482022,0.099004587,39.34985446,0.083640505,3.795079664,3.711439159,39.3157603,133.63,48.42,247.07,220.46,11.78186653,0.35,0.33,0.48,43.41
2,0,10/1/2019,2,0.416,343.4107497,67.10504963,1114.121984,179.9948229,770.7112343,112.8897733,1.124836132,0.091343099,41.34229884,0.125193033,3.003887094,2.878694061,52.84775991,113.19,40.90,184.28,182.95,12.19800069,0.38,0.34,0.51,41.43
2,0,10/1/2019,3,0.454,313.3824972,62.37411852,1062.209182,172.7570413,748.8266846,110.3829227,0.573609795,0.068313163,35.36854973,0.145819033,1.751922773,1.60610374,30.71667507,58.58,33.14,170.43,152.40,7.81204006,0.26,0.24,0.35,43.17
2,0,10/1/2019,4,0.454,278.1338508,58.29840332,942.8132735,163.5649097,664.6794227,105.2665064,1.963510454,0.05267521,37.97293997,0.068383155,2.481890595,2.41350744,33.07949623,75.88,36.04,178.06,181.10,5.57941879,0.30,0.26,0.40,40.91
2,0.4,10/1/2019,5,0.462,310.3940994,40.5689201,976.1872135,130.5925723,665.793114,90.02365223,0.601831577,0.076724996,19.89717806,0,1.808639712,1.808639712,40.38777059,106.24,39.51,201.17,169.92,3.824432081,0.35,0.34,0.48,44.24
2,0.4,10/1/2019,6,0.542,270.8467306,38.79540903,1033.661712,135.5322241,762.8149816,96.73681504,1.509494503,0.048172023,23.02190608,0,2.109123308,2.109123308,35.81411679,84.73,24.56,137.90,135.38,8.271300712,0.38,0.35,0.51,42.30
2,0.4,10/1/2019,7,0.544,253.1720563,38.58713473,953.5485424,131.3103218,700.3764861,92.72318705,1.123017051,0.041219962,20.44696994,0.12719925,2.36729435,2.2400951,37.10866241,88.45,33.35,172.23,133.98,10.10874988,0.34,0.35,0.48,45.54
2,0.4,10/1/2019,8,0.542,272.158337,36.09722723,863.3510887,118.2834206,591.1927517,82.18619337,1.203958266,0.044779627,19.99321236,0.018822025,1.266677479,1.247855454,35.43712609,93.35,32.85,330.62,145.42,13.61377683,0.22,0.34,0.41,57.35
2,0.2,10/1/2019,9,0.464,356.8791048,52.75021328,966.5839013,148.6471048,609.7047965,95.89689153,1.271303701,0.077974415,29.57012162,0.120174891,3.079935004,2.959760113,46.08015115,144.26,53.96,291.57,277.68,14.48334621,0.33,0.30,0.45,42.48
2,0.2,10/1/2019,10,0.464,298.186209,47.64268697,1018.906825,157.9793001,720.7206164,110.3366131,1.917729312,0.077974415,28.47997889,0.093481813,2.645036774,2.551554961,40.27360545,119.67,39.31,193.51,173.97,11.72331244,0.38,0.36,0.52,43.25
2,0.2,10/1/2019,11,0.468,291.9442185,45.01709007,998.2638873,140.4821135,706.3196688,95.46502341,1.59255465,0.073270041,25.31353899,0.163138014,3.114975332,2.951837318,61.95277291,145.80,45.65,273.66,234.95,11.68083321,0.35,0.34,0.49,44.53
