Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
153.654619,0,0,0,0,0,0,0,0,,,154.6618954,0,0
153.7986809,0,0,0,0,0,0,0,0,,,154.8059574,0,0
153.9869747,0,0,0,0,0,0,0,0,,,154.9942512,0,0
153.9913749,0,0,0,0,0,0,0,0,,,154.9986514,0,0
154.6768747,0,0,0,0,0,0,0,0,,,155.6841512,0,0
154.933104,0,0,0,0,0,0,0,0,,,155.9403805,0,0
154.9473711,0,0,0,0,0,0,0,0,,,155.9546475,0,0
155.025775,0,0,0,0,0,0,0,0,,,156.0330515,0,0
155.0713668,8,12,3,0,0,0,0,0,CHO,[M-H]-,156.0786433,0.006324494,1
155.1077562,9,16,2,0,0,0,0,0,CHO,[M-H]-,156.1150327,-0.018556091,1
155.112247,0,0,0,0,0,0,0,0,,,156.1195235,0,0
155.3746875,0,0,0,0,0,0,0,0,,,156.381964,0,0
155.3748985,0,0,0,0,0,0,0,0,,,156.382175,0,0
155.5843459,0,0,0,0,0,0,0,0,,,156.5916224,0,0
155.7649658,0,0,0,0,0,0,0,0,,,156.7722423,0,0
155.8040649,0,0,0,0,0,0,0,0,,,156.8113414,0,0
156.0646366,0,0,0,0,0,0,0,0,,,157.0719131,0,0
156.2086647,0,0,0,0,0,0,0,0,,,157.2159412,0,0
156.4446343,0,0,0,0,0,0,0,0,,,157.4519108,0,0
156.8028203,0,0,0,0,0,0,0,0,,,157.8100968,0,0
156.8422424,0,0,0,0,0,0,0,0,,,157.8495188,0,0
156.8632153,0,0,0,0,0,0,0,0,,,157.8704918,0,0
157.0506301,7,10,4,0,0,0,0,0,CHO,[M-H]-,158.0579065,0.014388926,1
157.0870175,8,14,3,0,0,0,0,0,CHO,[M-H]-,158.0942939,0.002469088,1
157.1165082,0,0,0,0,0,0,0,0,,,158.1237846,0,0
157.1229294,0,0,0,0,0,0,0,0,,,158.1302059,0,0
157.1231708,0,0,0,0,0,0,0,0,,,158.1304473,0,0
157.1234052,9,18,2,0,0,0,0,0,CHO,[M-H]-,158.1306817,-0.011974809,1
157.1234173,9,18,2,0,0,0,0,0,CHO,[M-H]-,158.1306938,-0.088363125,1
157.1236611,0,0,0,0,0,0,0,0,,,158.1309376,0,0
157.1236778,0,0,0,0,0,0,0,0,,,158.1309543,0,0
157.2252098,0,0,0,0,0,0,0,0,,,158.2324863,0,0
157.4509739,0,0,0,0,0,0,0,0,,,158.4582503,0,0
