SampleID,Temp,Treatment
Weint_001_lip_30Mar21_Magnolia_Infuse_300SA_p05_032_01_2421,2,0
Weint_002_lip_30Mar21_Magnolia_Infuse_300SA_p05_007_01_2452,2,0
Weint_003_lip_30Mar21_Magnolia_Infuse_300SA_p05_007_01_2475,2,0
Weint_004_lip_30Mar21_Magnolia_Infuse_300SA_p05_039_01_2512,2,0
Weint_005_lip_30Mar21_Magnolia_Infuse_300SA_p05_044_01_2433,2,0.4
Weint_006_lip_30Mar21_Magnolia_Infuse_300SA_p05_007_01_2453,2,0.4
Weint_007_lip_30Mar21_Magnolia_Infuse_300SA_p05_008_01_2481,2,0.4
Weint_008_lip_30Mar21_Magnolia_Infuse_300SA_p05_029_01_2502,2,0.4
Weint_009_lip_30Mar21_Magnolia_Infuse_300SA_p05_050_01_2439,2,0.2
Weint_010_lip_30Mar21_Magnolia_Infuse_300SA_p05_007_01_2451,2,0.2
Weint_011_lip_30Mar21_Magnolia_Infuse_300SA_p05_007_01_2474,2,0.2
Weint_012_lip_30Mar21_Magnolia_Infuse_300SA_p05_023_01_2496,2,0.2
Weint_013_lip_30Mar21_Magnolia_Infuse_300SA_p05_045_01_2434,2,2
Weint_014_lip_30Mar21_Magnolia_Infuse_300SA_p05_005_01_2448,2,2
Weint_015_lip_30Mar21_Magnolia_Infuse_300SA_p05_011_01_2484,2,2
Weint_016_lip_30Mar21_Magnolia_Infuse_300SA_p05_030_01_2503,2,2
Weint_017_lip_30Mar21_Magnolia_Infuse_300SA_p05_042_01_2431,6,0
Weint_018_lip_30Mar21_Magnolia_Infuse_300SA_p05_007_01_2455,6,0
Weint_019_lip_30Mar21_Magnolia_Infuse_300SA_p05_016_01_2489,6,0
Weint_020_lip_30Mar21_Magnolia_Infuse_300SA_p05_035_01_2508,6,0
Weint_021_lip_30Mar21_Magnolia_Infuse_300SA_p05_043_01_2432,6,0.4
Weint_022_lip_30Mar21_Magnolia_Infuse_300SA_p05_007_01_2463,6,0.4
Weint_023_lip_30Mar21_Magnolia_Infuse_300SA_p05_007_01_2477,6,0.4
Weint_024_lip_30Mar21_Magnolia_Infuse_300SA_p05_022_01_2495,6,0.4
