Mass,Weint_070_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1987,Weint_071_met_SPE_23Dec20_Fir_Infuse_300SA_p1_013_01_2018,Weint_072_met_SPE_23Dec20_Fir_Infuse_300SA_p1_040_01_2045,Weint_073_met_SPE_23Dec20_Fir_Infuse_300SA_p1_038_01_1959,Weint_074_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1996,Weint_075_met_SPE_23Dec20_Fir_Infuse_300SA_p1_015_01_2020,Weint_076_met_SPE_23Dec20_Fir_Infuse_300SA_p1_022_01_2027,Weint_077_met_SPE_23Dec20_Fir_Infuse_300SA_p1_037_01_1958,Weint_078_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1988,Weint_079_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2005,Weint_080_met_SPE_23Dec20_Fir_Infuse_300SA_p1_030_01_2035,Weint_pre_r1_met_SPE_23Dec20_Fir_Infuse_300SA_p1_052_01_1973,Weint_pre_r2_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1992,Weint_pre_r3_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2003,Weint_pre_r4_met_SPE_23Dec20_Fir_Infuse_300SA_p1_039_01_2044,Weint_001_met_SPE_23Dec20_Fir_Infuse_300SA_p1_040_01_1961,Weint_002_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1989,Weint_003_met_SPE_23Dec20_Fir_Infuse_300SA_p1_016_01_2021,Weint_004_met_SPE_23Dec20_Fir_Infuse_300SA_p1_026_01_2031,Weint_005_met_SPE_23Dec20_Fir_Infuse_300SA_p1_032_01_1953,Weint_006_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1982,Weint_007_met_SPE_23Dec20_Fir_Infuse_300SA_p1_010_01_2015,Weint_008_met_SPE_23Dec20_Fir_Infuse_300SA_p1_029_01_2034,Weint_009_met_SPE_23Dec20_Fir_Infuse_300SA_p1_035_01_1956,Weint_010_met_SPE_23Dec20_Fir_Infuse_300SA_p1_005_01_1980,Weint_011_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2012,Weint_012_met_SPE_23Dec20_Fir_Infuse_300SA_p1_035_01_2040,Weint_013_met_SPE_23Dec20_Fir_Infuse_300SA_p1_042_01_1963,Weint_014_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1983,Weint_015_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2001,Weint_016_met_SPE_23Dec20_Fir_Infuse_300SA_p1_038_01_2043,Weint_017_met_SPE_23Dec20_Fir_Infuse_300SA_p1_039_01_1960,Weint_018_met_SPE_23Dec20_Fir_Infuse_300SA_p1_004_01_1979,Weint_019_met_SPE_23Dec20_Fir_Infuse_300SA_p1_009_01_2014,Weint_020_met_SPE_23Dec20_Fir_Infuse_300SA_p1_033_01_2038,Weint_021_met_SPE_23Dec20_Fir_Infuse_300SA_p1_047_01_1968,Weint_022_met_SPE_23Dec20_Fir_Infuse_300SA_p1_002_01_1977,Weint_023_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2006,Weint_024_met_SPE_23Dec20_Fir_Infuse_300SA_p1_027_01_2032,Weint_025_met_SPE_23Dec20_Fir_Infuse_300SA_p1_043_01_1964,Weint_026_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1995,Weint_027_met_SPE_23Dec20_Fir_Infuse_300SA_p1_014_01_2019,Weint_028_met_SPE_23Dec20_Fir_Infuse_300SA_p1_028_01_2033,Weint_029_met_SPE_23Dec20_Fir_Infuse_300SA_p1_041_01_1962,Weint_030_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1990,Weint_031_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2004,Weint_032_met_SPE_23Dec20_Fir_Infuse_300SA_p1_024_01_2029,Weint_033_met_SPE_23Dec20_Fir_Infuse_300SA_p1_051_01_1972,Weint_034_met_SPE_23Dec20_Fir_Infuse_300SA_p1_003_01_1978,Weint_035_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2011,Weint_036_met_SPE_23Dec20_Fir_Infuse_300SA_p1_031_01_2036,Weint_037_met_SPE_23Dec20_Fir_Infuse_300SA_p1_049_01_1970,Weint_038_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1993,Weint_039_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2010,Weint_040_met_SPE_23Dec20_Fir_Infuse_300SA_p1_020_01_2025,Weint_041_met_SPE_23Dec20_Fir_Infuse_300SA_p1_036_01_1957,Weint_042_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1986,Weint_043_met_SPE_23Dec20_Fir_Infuse_300SA_p1_011_01_2016,Weint_044_met_SPE_23Dec20_Fir_Infuse_300SA_p1_023_01_2028,Weint_045_met_SPE_23Dec20_Fir_Infuse_300SA_p1_044_01_1965,Weint_046_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1991,Weint_047_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2009,Weint_048_met_SPE_23Dec20_Fir_Infuse_300SA_p1_034_01_2039,Weint_049_met_SPE_23Dec20_Fir_Infuse_300SA_p1_045_01_1966,Weint_050_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1984,Weint_051_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2008,Weint_052_met_SPE_23Dec20_Fir_Infuse_300SA_p1_032_01_2037,Weint_053_met_SPE_23Dec20_Fir_Infuse_300SA_p1_033_01_1954,Weint_054_met_SPE_23Dec20_Fir_Infuse_300SA_p1_006_01_1981,Weint_055_met_SPE_23Dec20_Fir_Infuse_300SA_p1_008_01_2013,Weint_056_met_SPE_23Dec20_Fir_Infuse_300SA_p1_037_01_2042,Weint_057_met_SPE_23Dec20_Fir_Infuse_300SA_p1_050_01_1971,Weint_058_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1994,Weint_059_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2002,Weint_060_met_SPE_23Dec20_Fir_Infuse_300SA_p1_036_01_2041,Weint_061_met_SPE_23Dec20_Fir_Infuse_300SA_p1_034_01_1955,Weint_062_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1985,Weint_063_met_SPE_23Dec20_Fir_Infuse_300SA_p1_012_01_2017,Weint_064_met_SPE_23Dec20_Fir_Infuse_300SA_p1_025_01_2030,Weint_065_met_SPE_23Dec20_Fir_Infuse_300SA_p1_046_01_1967,Weint_066_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_1997,Weint_067_met_SPE_23Dec20_Fir_Infuse_300SA_p1_007_01_2007,Weint_068_met_SPE_23Dec20_Fir_Infuse_300SA_p1_021_01_2026,Weint_069_met_SPE_23Dec20_Fir_Infuse_300SA_p1_048_01_1969
155.0713681,6386024.5,5970610.5,6021101.5,2900393.5,4103206.3,3543546.5,5876846.5,5097936,5428035,4602586.5,6498046,8588865,8318457,5985115,7423428,9799388,8177416,6349194,7002703,7030930.5,8366374,7381758,7684007,7864370.5,5805027,6200945,6833861,10259861,6531908,4408188,7434702.5,7784509.5,8158617.5,9111969,7580216.5,6977928,6524270.5,8262227.5,8460873,10435471,6943954,7311521.5,7883495.5,8948654,8646265,8025888,7696708.5,8956238,7077201.5,8085300.5,7646559.5,7593241,9841036,6608786.5,0,6796232.5,7957679.5,5195050,6572456,8304261.5,7676675.5,8141457,5570376.5,7601769.5,6841123,7441374.5,7441377.5,6094667.5,7519212.5,7493910.5,8314527.5,6361471,8339134,7420060.5,9143222,8065210.5,7559948.5,7953150.5,7684059,7244895,8549360,6566078.5,0,6007177.5
155.107756,9742865,7698221.5,8663491,6199097,5032292,4694481,6385723,5089570.5,8169879.5,5596357.5,6504367.5,6178499.5,7267656,4743024.5,6324012.5,9537118,7260116.5,6153605,7883820,6229353.5,8053292.5,6522995.5,6644737.5,7669213,6723008.5,8601729,7960673.5,4970286,7743576,6028567.5,9874363,6382674,7044460,12290935,9392717,11891775,9738283,9074381,11559160,8795844,5910758.5,7106145,9500641,15457514,10769585,9272049,10839332,7257497.5,6228216.5,7612881,7383351.5,8357881,9635270,6322292,0,7966972,9214551,6100752.5,7807039.5,7805995.5,7735642.5,10969235,6137077,10034290,9022808,6665929.5,7920729.5,6130137.5,10832156,10816282,8090208,10281148,9496578,8492061,8031681.5,9144480,7183409.5,8099306,8343457.5,9365764,6794036.5,7502467.5,2721364,6213039.5
155.1441422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4820079.5,3218702.3,0,0,0,0,0,0,0,0,0,0,2863036.5,0,0,0,0,3705640,4523850,3584704.5,3311520,2933059.3,2959051.3,4115054,3241288,3027741,3263904,3403165.3,3480597.8,3609356.8,3527363.8,0,0,3050235.5,0,3317043.3,0,3343963,0,0,0,2856527.8,0,0,3609127.5,0,2833031.5,0,2970482,2763643.5,3011670.8,2799854.8,0,4498958,2904625.8,3641485.3,0,3678981.3,2915387.5,2820657,0,0,3194443.8,3003236,0,0,2807631,0,0
156.0666192,3633480.8,0,3081924.8,0,0,0,2748410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2751342,0,0,0,3669079,0,3263237.8,0,0,3622461.8,2772939,0,0,4524878,0,0,0,0,0,0,0,0,0,0,0,0,0,2701385.3,2944461.5,0,0,0,0,3182409.3,0,3582515.8,0,0,0,0,0
157.0506334,7957145.5,6644095,3950720.5,0,0,3223397.3,5906729.5,0,6954521,3043265.8,7629695.5,6491627.5,11497897,3173922.5,3449084.3,7821232.5,6382117.5,5370363.5,0,6221410.5,6566798,4436955,7080640.5,7488917,4707427.5,3010690.5,4513456,5076508,6524087.5,0,6189665,6061671.5,3719191.3,6873443.5,4613054,3694303.8,3573275.8,7352585.5,3094007,7756021,3066235.5,4392544.5,6272794,5506292.5,8433321,4965305.5,4877959,6380731.5,5680989,2932517.5,3933963.3,5491706.5,7952496,0,0,4196475,7256321,2712012.5,4678965,5882333.5,4450512.5,7955351.5,2689932.8,4659069,4509836,3128839.8,4707795,5707676.5,6027140,0,6517020.5,3151342.3,7664096.5,5302190,7692766,3567192.3,8003990.5,5474930,6430701.5,0,9407844,3450692,0,6101936.5
157.0658955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2786465.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157.0870175,10913631,9318387,7349655,6172113.5,6343762,5418445,7484839,8016209,10310927,6512865.5,9271093,7088573,7239288.5,5304440,6596716,12538764,9508969,7803197,7962896.5,6956888,10025330,8480175,7878186,8719063,6964777,5550670,8115235.5,4494477.5,8263835,5127403,7758682.5,6433055,7406562,8753085,7387843.5,9826745,7078922.5,7942799,7243832.5,8122958.5,6498455,5155316,7052471.5,8629190,8889583,6436837,6406832.5,10990959,9998631,10837110,8748288,15087364,17237362,9114897,0,10883814,12366206,8916510,9702177,11118655,10490188,13157495,8653298,12619409,10510866,7384267,8892300,8991984,14954098,10763058,12522274,10220634,11894888,10334880,12300358,12077489,12498934,12195827,12451377,8479239,10057017,6975741.5,0,11770086
157.1234044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3391752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084603.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2735332.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2818416.3,0,2732083.5,0,0,2732010,0,0,0
159.0451522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742094.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159.0662847,18124564,12553825,8732309,4151271,4632730.5,6209865,11263335,5945129,14188992,6323843,15218289,23104120,30639356,12788854,16982884,16165321,14457739,10368125,6360008.5,13301008,15428670,10585440,14809846,15071948,10100570,5988959.5,11350778,9407525,12558301,4296475.5,12613781,12904880,9804525,16269123,9714091,9420656,9328943,15405314,7699330,15753614,7674102.5,8401142,10299882,13418890,17159030,11642347,9653611,14115214,13070553,8981376,7975172,14124950,17419710,7577926,0,9684478,12449238,6245734,10688875,13315337,9076860,16218904,6277707,13274317,11713864,8339486,11904889,11177633,14000003,8777415,17021424,7388440.5,14649941,11815696,17197616,8225873.5,18069086,14397741,13476559,8723041,17411530,8384079.5,4144317.5,12447864
159.1026669,31147488,23898638,23748730,16044360,21487756,18583590,22667236,20576734,33448468,22431884,28572470,0,12994632,0,0,30409206,30522928,21311626,21656494,19809132,22395194,24587732,28786970,26318776,23064398,21680032,28510286,9189850,21872786,15469396,19665106,22299364,21475178,23783152,21037144,21107022,20283972,22763750,24314566,20647098,19322942,16911122,16495462,21525222,25679282,17226280,14429695,24568858,20336334,24768644,23728016,29924458,33137658,19823082,5882499.5,19753002,24394306,19386758,23366200,27696726,30209624,29942628,22477704,28104954,23159404,21125554,22321790,18320310,26390264,26944268,26456094,23034196,27767322,22698868,29261276,29325198,30482234,31891562,28936780,29353838,32339382,24804804,7606346,25256796
