Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
155.0713681,8,12,3,0,0,0,0,0,CHO,[M-H]-,156.0786446,-0.002167166,1
155.107756,9,16,2,0,0,0,0,0,CHO,[M-H]-,156.1150324,-0.017168584,1
155.1441422,10,20,1,0,0,0,0,0,CHO,[M-H]-,156.1514186,-0.021618082,1
156.0666192,7,11,3,1,0,0,0,0,CHON,[M-H]-,157.0738957,-0.015475803,1
157.0506334,7,10,4,0,0,0,0,0,CHO,[M-H]-,158.0579099,-0.006996328,1
157.0658955,11,10,1,0,0,0,0,0,CHO,[M-H]-,158.0731719,-0.04422208,1
157.0870175,8,14,3,0,0,0,0,0,CHO,[M-H]-,158.0942939,0.002465258,1
157.1234044,9,18,2,0,0,0,0,0,CHO,[M-H]-,158.1306809,-0.006749198,1
159.0451522,10,8,2,0,0,0,0,0,CHO,[M-H]-,160.0524287,0.004975155,1
159.0662847,7,12,4,0,0,0,0,0,CHO,[M-H]-,160.0735611,-0.014118841,1
159.1026669,8,16,3,0,0,0,0,0,CHO,[M-H]-,160.1099434,0.006134821,1
160.0404062,9,7,2,1,0,0,0,0,CHON,[M-H]-,161.0476826,-0.025746394,1
161.0244176,9,6,3,0,0,0,0,0,CHO,[M-H]-,162.0316941,-7.39E-05,1
161.045549,6,10,5,0,0,0,0,0,CHO,[M-H]-,162.0528255,-0.012474328,1
161.0608047,10,10,2,0,0,0,0,0,CHO,[M-H]-,162.0680811,-0.009769948,1
161.0819334,7,14,4,0,0,0,0,0,CHO,[M-H]-,162.0892099,-0.005903006,1
161.0971956,11,14,1,0,0,0,0,0,CHO,[M-H]-,162.1044721,-0.043251802,1
162.0771737,6,13,4,1,0,0,0,0,CHON,[M-H]-,163.0844502,0.047473795,1
163.0400673,9,8,3,0,0,0,0,0,CHO,[M-H]-,164.0473438,0.001942532,1
163.0611991,6,12,5,0,0,0,0,0,CHO,[M-H]-,164.0684755,-0.012444317,1
163.076454,10,12,2,0,0,0,0,0,CHO,[M-H]-,164.0837305,-0.005092782,1
163.1128372,11,16,1,0,0,0,0,0,CHO,[M-H]-,164.1201136,0.009052842,1
