"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C8H11O5N1","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1111,0.25,1.38,0.62,-2,4,-0.25
"C10H19O3N1","[M-H]-","aliphatic","aliphatic+N",-0.0667,-1,1.9,0.3,-2,2,-0.2
"C6H14O5","[M+Cl]-","aliphatic","lipid",-0.7143,-0.6667,2.33,0.83,-5,0,-0.8333
"C9H14O5","[M-H]-","aliphatic","aliphatic",0.0769,-0.4444,1.56,0.56,-2,3,-0.2222
"C10H18O4","[M-H]-","aliphatic","aliphatic",0,-1,1.8,0.4,-2,2,-0.2
"C11H22O3","[M-H]-","aliphatic","lipid",-0.0526,-1.4545,2,0.27,-2,1,-0.1818
"C8H12O6","[M-H]-","aliphatic","aliphatic",0,0,1.5,0.75,-3,3,-0.375
"C9H16O5","[M-H]-","aliphatic","aliphatic",-0.0769,-0.6667,1.78,0.56,-3,2,-0.3333
"C10H20O4","[M-H]-","aliphatic","lipid",-0.125,-1.2,2,0.4,-3,1,-0.3
"C11H10O4","[M-H]-","aromatic","aromatic",0.5556,-0.1818,0.91,0.36,3,7,0.2727
"C8H14O6","[M-H]-","aliphatic","aliphatic",-0.2,-0.25,1.75,0.75,-4,2,-0.5
"C14H22O1","[M-H]-","aliphatic","aliphatic",0.2593,-1.4286,1.57,0.07,3,4,0.2143
"C10H8O3S1","[M-H]-","aromatic","aromatic",0.6,0,0.8,0.3,3,7,0.3
"C10H8O5","[M-H]-","aromatic","aromatic",0.6,0.2,0.8,0.5,2,7,0.2
"C11H12O4","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.4444,-0.3636,1.09,0.36,2,6,0.1818
"C13H20O2","[M-H]-","aliphatic","aliphatic",0.25,-1.2308,1.54,0.15,2,4,0.1538
"C11H15O3N1","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2941,-0.5455,1.36,0.27,1,5,0.0909
"C10H10O5","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.4667,0,1,0.5,1,6,0.1
"C11H14O4","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.3333,-0.5455,1.27,0.36,1,5,0.0909
"C8H18O4S1","[M-H]-","aliphatic","lipid",-0.6,-1,2.25,0.5,-5,0,-0.625
"C8H19O4P1","[M-H]-","aliphatic","lipid",-0.6,-1.375,2.38,0.5,-5,0,-0.625
"C13H22O2","[M-H]-","aliphatic","aliphatic",0.1667,-1.3846,1.69,0.15,1,3,0.0769
"C10H12O5","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.3333,-0.2,1.2,0.5,0,5,0
"C11H16O4","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2222,-0.7273,1.45,0.36,0,4,0
"C12H20O3","[M-H]-","aliphatic","aliphatic",0.1429,-1.1667,1.67,0.25,0,3,0
"C13H24O2","[M-H]-","aliphatic","aliphatic",0.0833,-1.5385,1.85,0.15,0,2,0
"C10H14O5","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2,-0.4,1.4,0.5,-1,4,-0.1
"C11H18O4","[M-H]-","aliphatic","aliphatic",0.1111,-0.9091,1.64,0.36,-1,3,-0.0909
"C12H22O3","[M-H]-","aliphatic","aliphatic",0.0476,-1.3333,1.83,0.25,-1,2,-0.0833
"C13H26O2","[M-H]-","aliphatic","lipid",0,-1.6923,2,0.15,-1,1,-0.0769
"C11H21O3N1","[M-H]-","aliphatic","aliphatic+N",-0.0588,-1.0909,1.91,0.27,-2,2,-0.1818
"C6H12O6","[M+Cl]-","aliphatic","carbohydrate",-0.6667,0,2,1,-5,1,-0.8333
"C9H12O6","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.1667,0,1.33,0.67,-2,4,-0.2222
