"formula","Temp","Treatment"
"C8H11O5N1","6","0.2"
"C9H14O5","2","0"
"C9H14O5","6","0.4"
"C9H14O5","6","0.2"
"C9H14O5","6","2"
"C9H14O5","-6","0"
"C9H14O5","-6","0.4"
"C9H14O5","-2","0.2"
"C9H14O5","-2","2"
"C9H14O5","2","0.4"
"C9H14O5","2","0.2"
"C9H14O5","2","2"
"C9H14O5","6","0"
"C9H14O5","-10","0"
"C9H14O5","-10","0.4"
"C9H14O5","-10","0.2"
"C9H14O5","-10","2"
"C9H14O5","-6","0.2"
"C9H14O5","-6","2"
"C9H14O5","-2","0"
"C9H14O5","-2","0.4"
"C10H18O4","2","0"
"C10H18O4","2","0.4"
"C10H18O4","2","0.2"
"C10H18O4","2","2"
"C10H18O4","6","0"
"C10H18O4","6","0.4"
"C10H18O4","6","0.2"
"C10H18O4","6","2"
"C10H18O4","-10","0"
"C10H18O4","-10","0.4"
"C10H18O4","-10","0.2"
"C10H18O4","-6","0.4"
"C10H18O4","-6","0.2"
"C10H18O4","-6","2"
"C10H18O4","-2","0"
"C10H18O4","-2","0.4"
"C10H18O4","-2","0.2"
"C10H18O4","-2","2"
"C10H18O4","-10","2"
"C10H18O4","-6","0"
"C11H22O3","2","0"
"C11H22O3","2","0.4"
"C11H22O3","2","2"
"C11H22O3","6","0.4"
"C11H22O3","6","0.2"
"C11H22O3","6","2"
"C11H22O3","-10","0"
"C11H22O3","-10","0.4"
"C11H22O3","-10","0.2"
"C11H22O3","-10","2"
"C11H22O3","-6","0.4"
"C11H22O3","-6","0.2"
"C11H22O3","-6","2"
"C11H22O3","-2","0"
"C11H22O3","2","0.2"
"C11H22O3","-2","2"
"C8H12O6","2","0"
"C8H12O6","6","0.2"
"C8H12O6","6","2"
"C8H12O6","-10","0"
"C8H12O6","-10","2"
"C8H12O6","-6","0.4"
"C8H12O6","-6","0.2"
"C8H12O6","-2","2"
"C9H16O5","2","0"
"C9H16O5","2","0.4"
"C9H16O5","2","2"
"C9H16O5","6","0.4"
"C9H16O5","6","0.2"
"C9H16O5","6","2"
"C9H16O5","-10","0"
"C9H16O5","-10","0.4"
"C9H16O5","-10","0.2"
"C9H16O5","-10","2"
"C9H16O5","-6","0"
"C9H16O5","-6","0.4"
"C9H16O5","-6","0.2"
"C9H16O5","-6","2"
"C9H16O5","-2","0"
"C9H16O5","-2","0.2"
"C9H16O5","-2","2"
"C10H20O4","2","0"
"C10H20O4","2","0.4"
"C10H20O4","2","0.2"
"C10H20O4","2","2"
"C10H20O4","6","0"
"C10H20O4","6","0.4"
"C10H20O4","6","0.2"
"C10H20O4","6","2"
"C10H20O4","-10","0"
"C10H20O4","-10","0.4"
"C10H20O4","-10","2"
"C10H20O4","-6","0"
"C10H20O4","-6","0.4"
"C10H20O4","-6","0.2"
"C10H20O4","-6","2"
"C10H20O4","-2","0"
"C10H20O4","-2","0.2"
"C8H14O6","6","0.2"
"C14H22O1","2","0"
"C14H22O1","2","0.4"
"C14H22O1","2","0.2"
"C14H22O1","2","2"
"C14H22O1","6","0"
"C14H22O1","6","0.4"
"C14H22O1","6","0.2"
"C14H22O1","6","2"
"C14H22O1","-10","0"
"C14H22O1","-10","0.4"
"C14H22O1","-10","0.2"
"C14H22O1","-10","2"
"C14H22O1","-6","0"
"C14H22O1","-6","0.4"
"C14H22O1","-6","0.2"
"C14H22O1","-6","2"
"C14H22O1","-2","0"
"C14H22O1","-2","0.4"
"C14H22O1","-2","0.2"
"C14H22O1","-2","2"
"C10H8O3S1","2","2"
"C13H20O2","2","0"
"C13H20O2","2","0.4"
"C13H20O2","6","0.4"
"C13H20O2","6","0.2"
"C13H20O2","6","2"
