"formula","Temp","Treatment"
"C9H15O4N1","-2","0.4"
"C9H15O4N1","-6","2"
"C10H19O3N1","-2","0.4"
"C10H19O3N1","-2","0.2"
"C10H19O3N1","-2","2"
"C10H19O3N1","2","0"
"C10H19O3N1","2","0.4"
"C10H19O3N1","2","0.2"
"C10H19O3N1","6","0"
"C10H19O3N1","6","0.4"
"C10H19O3N1","6","2"
"C10H19O3N1","-10","0.4"
"C10H19O3N1","-10","2"
"C10H19O3N1","-6","0.2"
"C10H19O3N1","-6","2"
"C10H19O3N1","-2","0"
"C7H6O5S1","-2","0.4"
"C7H6O5S1","-2","2"
"C7H6O5S1","-10","0"
"C7H6O5S1","-10","0.4"
"C7H6O5S1","-10","0.2"
"C7H6O5S1","-10","2"
"C7H6O5S1","-6","0"
"C7H6O5S1","-6","0.4"
"C7H6O5S1","-6","0.2"
"C7H6O5S1","-6","2"
"C8H6O4","2","0.2"
"C12H10O3","-2","0.4"
"C12H10O3","Pre","Pre"
"C12H10O3","2","0.2"
"C12H10O3","-10","0"
"C12H10O3","-6","0.2"
"C12H10O3","-6","2"
"C12H10O3","-2","0"
"C10H14O2","-2","0.4"
"C10H14O2","2","0"
"C10H14O2","6","0"
"C10H14O2","6","0.2"
"C10H14O2","-2","0"
"C9H14O5","-2","0.4"
"C9H14O5","-2","0.2"
"C9H14O5","-2","2"
"C9H14O5","Pre","Pre"
"C9H14O5","2","0"
"C9H14O5","2","0.4"
"C9H14O5","2","0.2"
"C9H14O5","2","2"
"C9H14O5","6","0"
"C9H14O5","6","0.4"
"C9H14O5","6","0.2"
"C9H14O5","6","2"
"C9H14O5","-10","0"
"C9H14O5","-10","0.4"
"C9H14O5","-10","0.2"
"C9H14O5","-10","2"
"C9H14O5","-6","0"
"C9H14O5","-6","0.4"
"C9H14O5","-6","0.2"
"C9H14O5","-6","2"
"C9H14O5","-2","0"
"C10H18O4","-2","0.4"
"C10H18O4","-2","0.2"
"C10H18O4","-2","2"
"C10H18O4","Pre","Pre"
"C10H18O4","2","0"
"C10H18O4","2","0.4"
"C10H18O4","2","0.2"
"C10H18O4","2","2"
"C10H18O4","6","0"
"C10H18O4","6","0.4"
"C10H18O4","6","0.2"
"C10H18O4","6","2"
"C10H18O4","-10","0"
"C10H18O4","-10","0.4"
"C10H18O4","-10","0.2"
"C10H18O4","-10","2"
"C10H18O4","-6","0"
"C10H18O4","-6","0.4"
"C10H18O4","-6","0.2"
"C10H18O4","-6","2"
"C10H18O4","-2","0"
"C14H18O1","Pre","Pre"
"C11H22O3","-2","0.4"
"C11H22O3","-2","0.2"
"C11H22O3","-2","2"
"C11H22O3","Pre","Pre"
"C11H22O3","2","0"
"C11H22O3","2","0.4"
"C11H22O3","2","0.2"
"C11H22O3","2","2"
"C11H22O3","6","0"
"C11H22O3","6","0.4"
"C11H22O3","6","0.2"
"C11H22O3","6","2"
"C11H22O3","-10","0"
"C11H22O3","-10","0.4"
"C11H22O3","-10","0.2"
"C11H22O3","-10","2"
"C11H22O3","-6","0"
"C11H22O3","-6","0.4"
"C11H22O3","-6","0.2"
"C11H22O3","-6","2"
"C11H22O3","-2","0"
"C9H17O4N1","2","0.4"
"C9H17O4N1","-10","0.2"
"C9H17O4N1","-6","0"
"C11H8O4","-2","0.4"
"C11H8O4","-2","0.2"
"C11H8O4","-2","2"
"C11H8O4","Pre","Pre"
"C11H8O4","2","0"
"C11H8O4","2","0.4"
"C11H8O4","2","0.2"
"C11H8O4","2","2"
"C11H8O4","6","0"
"C11H8O4","6","0.4"
"C11H8O4","6","0.2"
"C11H8O4","6","2"
"C11H8O4","-10","0"
"C11H8O4","-10","0.4"
"C11H8O4","-10","0.2"
"C11H8O4","-10","2"
"C11H8O4","-6","0"
"C11H8O4","-6","0.4"
"C11H8O4","-6","0.2"
"C11H8O4","-6","2"
"C11H8O4","-2","0"
"C8H12O6","-6","0.2"
"C12H12O3","-2","0.4"
"C12H12O3","-2","2"
"C12H12O3","Pre","Pre"
"C12H12O3","2","0"
"C12H12O3","2","0.4"
"C12H12O3","2","0.2"
"C12H12O3","6","0"
"C12H12O3","6","0.4"
"C12H12O3","6","0.2"
"C12H12O3","6","2"
"C12H12O3","-10","0"
"C12H12O3","-10","0.4"
"C12H12O3","-10","0.2"
"C12H12O3","-10","2"
"C12H12O3","-6","0"
"C12H12O3","-6","0.4"
"C12H12O3","-6","0.2"
"C12H12O3","-6","2"
"C12H12O3","-2","0"
"C9H16O5","-2","0.4"
